Title_id,Age,IMDb,Rotten_tomatoes
272,16+,7.5,57%
273,18+,8.1,94%
274,18+,6.8,80%
275,16+,7.4,100%
276,16+,8.4,100%
277,16+,7.5,44%
278,18+,7.4,65%
279,18+,8.2,100%
280,16+,8.5,
281,16+,8.1,
282,16+,7.9,
283,,9.2,
284,18+,7.5,80%
285,18+,7.6,91%
286,,8.2,100%
287,16+,8.4,
288,7+,7.2,100%
289,18+,7.2,75%
290,7+,8.6,
291,7+,7.3,
292,16+,7.6,
293,7+,7.5,77%
294,18+,8.6,
295,16+,7.0,51%
296,16+,7.9,80%
297,7+,8.1,100%
298,16+,8.5,100%
299,16+,8.1,100%
300,18+,7.7,77%
301,18+,7.7,63%
302,18+,7.4,75%
303,7+,8.2,
304,all,9.0,
305,18+,7.5,86%
306,18+,8.4,
307,16+,7.2,50%
308,16+,6.1,95%
309,16+,8.6,
310,16+,8.0,68%
311,16+,8.5,93%
312,7+,7.5,61%
313,7+,6.0,73%
314,18+,7.7,
315,7+,7.4,33%
316,16+,6.8,82%
317,18+,6.7,70%
318,18+,7.1,38%
319,18+,8.4,
320,16+,6.6,51%
321,18+,7.5,
322,18+,7.9,
323,16+,6.6,11%
324,7+,7.2,88%
325,16+,7.5,
326,all,9.3,
327,18+,7.6,95%
328,18+,6.9,90%
329,16+,7.4,77%
330,16+,6.8,60%
331,16+,8.1,
332,,8.0,
333,,7.9,100%
334,7+,7.9,93%
335,16+,8.0,50%
336,7+,8.4,
337,18+,8.0,95%
338,16+,8.6,100%
339,7+,8.4,100%
340,7+,8.0,
341,16+,8.2,
342,all,9.0,
343,16+,7.3,78%
344,16+,8.2,
345,18+,6.4,83%
346,16+,8.1,40%
347,all,7.2,
348,7+,6.7,78%
349,18+,6.8,100%
350,18+,8.3,100%
351,16+,7.8,
352,,8.2,100%
353,16+,7.5,100%
354,18+,7.5,80%
355,16+,8.6,
356,7+,8.6,
357,18+,8.2,80%
358,18+,7.8,100%
359,16+,7.4,30%
360,16+,8.5,
361,all,8.3,
362,,8.2,
363,16+,7.1,77%
364,,8.2,
365,18+,6.4,75%
366,16+,7.2,64%
367,7+,7.8,
368,all,7.9,
369,all,8.2,
370,16+,7.4,60%
371,18+,8.2,80%
372,7+,7.9,75%
373,16+,8.8,
374,18+,7.0,100%
375,18+,7.9,83%
376,16+,8.9,
377,7+,8.7,
378,16+,7.4,100%
379,7+,7.7,
380,7+,7.6,39%
381,16+,7.3,96%
382,18+,7.1,
383,16+,7.2,
384,18+,7.6,95%
385,16+,6.4,
386,7+,7.8,100%
387,16+,8.0,100%
388,16+,6.2,95%
